scenario,ref_steps,pred_steps,strict_tid_lcs,p_strict,r_strict,f1_strict,p_plausible,r_plausible,f1_plausible,false_chain
msf_record_mic_2020-06-09225055,3,15,0.0,0.0,0.0,0.0,0.1818,0.6667,0.2857,0
cmd_dumping_ntds_dit_file_ntdsutil,2,31,0.0645,0.1667,0.5,0.25,0.25,1.0,0.4,0
cmd_sam_copy_esentutl_2020-10-1900290001,2,9,0.1111,0.25,0.3333,0.2857,0.5,0.5,0.5,0
empire_mimikatz_logonpasswords_2020-08-07103224,2,15,0.1333,0.25,0.6667,0.3636,0.25,1.0,0.4,0
empire_shell_rubeus_asktgt_createnetonly_2020-09-21230246,2,21,0.0476,0.2143,0.75,0.3333,0.1538,0.6667,0.25,0
psh_lsass_memory_dump_comsvcs_2020-10-18T19500924,2,4,0.25,1.0,0.25,0.4,1.0,0.3333,0.5,0
cmd_process_herpaderping_mimiexplorer_2020-10-2623583501,2,5,0.0,0.3333,0.2,0.25,0.5,0.3333,0.4,0
cmd_stop_event_logging_controlset001_minint_key,2,31,0.0323,0.0833,0.25,0.125,0.0909,0.3333,0.1429,0
cmd_wevtutil_modify_security_eventlog_path,2,36,0.0556,0.1765,0.75,0.2857,0.1875,1.0,0.3158,0
empire_dllinjection_LoadLibrary_CreateRemoteThread_2020-07-22000048,2,22,0.0455,0.0769,0.3333,0.125,0.1667,1.0,0.2857,0
psh_cmstp_execution_bypassuac_2020-10-2201543213,2,10,0.2,0.4,0.6667,0.5,0.4,0.6667,0.5,0
cmd_seatbelt_group_user_2020-11-0216391814,2,2,0.5,0.5,0.2,0.2857,0.5,0.2,0.2857,0
empire_find_localadmin_smb_svcctl_OpenSCManager_2020-09-22021559,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
empire_getsession_dcerpc_smb_srvsvc_NetSessEnum_2020-09-22034513,2,14,0.0714,0.125,0.5,0.2,0.1429,0.5,0.2222,0
empire_shell_net_local_users_2020-09-21192606,2,10,0.1,0.1429,0.3333,0.2,0.1429,0.5,0.2222,0
empire_shell_samr_EnumDomainUsers_2020-09-21193527,2,7,0.1429,0.1667,0.3333,0.2222,0.1667,0.5,0.25,0
cmd_sharpview_pcre_net_2020-10-2920232423,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
empire_launcher_vbs_2020-09-04160940,2,13,0.0769,0.2,0.3333,0.25,0.2,1.0,0.3333,0
psh_powershell_httplistener_2020-11-0204130683,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
psh_python_webserver_2020-10-2900161507,2,2,0.5,1.0,0.5,0.6667,1.0,1.0,1.0,0
covenant_psremoting_command_2020-08-06115603,2,19,0.1053,0.1818,0.6667,0.2857,0.2,1.0,0.3333,0
empire_psexec_dcerpc_tcp_svcctl_2020-09-20121608,2,26,0.0385,0.0714,0.3333,0.1176,0.1429,1.0,0.25,0
empire_psremoting_stager_2020-09-20170827,2,22,0.0455,0.1538,0.6667,0.25,0.1667,1.0,0.2857,0
empire_wmi_dcerpc_wmi_IWbemServices_ExecMethod_2020-09-21001437,2,29,0.069,0.1667,1.0,0.2857,0.1875,1.0,0.3158,0
purplesharp_ad_playbook_I_2020-10-22042947,4,37,0.0541,0.2308,0.4286,0.3,0.2727,0.75,0.4,0
cmd_userinitmprlogonscript_batch_2020-10-1922471810,2,3,0.3333,0.5,0.3333,0.4,1.0,0.6667,0.8,0
covenant_persistwmi_2019-12-05044734,2,12,0.0833,0.1,0.3333,0.1538,0.125,0.3333,0.1818,0
empire_persistence_registry_modification_run_keys_elevated_user_2020-07-22001847,2,7,0.1429,0.1667,0.5,0.25,0.2,0.5,0.2857,0
empire_schtasks_creation_execution_elevated_user_2020-09-21175806,3,80,0.0375,0.0571,1.0,0.1081,0.0769,1.0,0.1429,0
empire_wmi_local_event_subscriptions_elevated_user_2020-09-04164306,2,80,0.0125,0.1154,1.0,0.2069,0.1579,1.0,0.2727,0
cmd_service_mod_fax_2020-10-2120454410,3,4,0.0,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0
empire_invoke_runas_2019-05-18204300,2,21,0.0476,0.1111,0.25,0.1538,0.1667,0.3333,0.2222,0
empire_uac_shellapi_fodhelper_2020-09-04032946,2,17,0.1176,0.3333,0.6667,0.4444,0.5,1.0,0.6667,0
metasploit_logonpasswords_lsass_memory_dump,3,80,0.0125,0.0455,0.1667,0.0714,0.1667,1.0,0.2857,0
metasploit_procdump_lsass_memory_dump,3,80,0.0125,0.0769,0.2857,0.1212,0.1364,1.0,0.24,0
