scenario,n_groups,n_tp,n_fp,purity,ref_roots,covered_roots,completeness,map_n,strict_h1,plausible_h1,plausible_h5,plausible_mrr
msf_record_mic_2020-06-09225055,15,0,15,0.0,3,0,0.0,0,0.0,0.0,0.0,0.0
cmd_dumping_ntds_dit_file_ntdsutil,31,6,25,0.1935,2,1,0.5,6,0.8333,0.8333,1.0,0.8889
cmd_sam_copy_esentutl_2020-10-1900290001,9,9,0,1.0,2,1,0.5,9,1.0,1.0,1.0,1.0
empire_mimikatz_logonpasswords_2020-08-07103224,15,7,8,0.4667,2,1,0.5,7,0.2857,0.7143,1.0,0.8333
empire_shell_rubeus_asktgt_createnetonly_2020-09-21230246,21,6,15,0.2857,3,1,0.3333,6,0.8333,0.8333,0.8333,0.8333
psh_lsass_memory_dump_comsvcs_2020-10-18T19500924,4,4,0,1.0,3,1,0.3333,4,1.0,1.0,1.0,1.0
cmd_process_herpaderping_mimiexplorer_2020-10-2623583501,5,4,1,0.8,3,1,0.3333,4,0.75,0.75,1.0,0.8125
cmd_stop_event_logging_controlset001_minint_key,31,0,31,0.0,3,0,0.0,0,0.0,0.0,0.0,0.0
cmd_wevtutil_modify_security_eventlog_path,36,1,35,0.0278,3,1,0.3333,1,0.0,0.0,0.0,0.0
empire_dllinjection_LoadLibrary_CreateRemoteThread_2020-07-22000048,22,5,17,0.2273,2,1,0.5,5,0.2,0.6,1.0,0.75
psh_cmstp_execution_bypassuac_2020-10-2201543213,10,6,4,0.6,3,1,0.3333,6,0.8333,1.0,1.0,1.0
cmd_seatbelt_group_user_2020-11-0216391814,2,2,0,1.0,5,1,0.2,2,0.5,0.5,0.5,0.5
empire_find_localadmin_smb_svcctl_OpenSCManager_2020-09-22021559,11,1,10,0.0909,3,1,0.3333,1,0.0,0.0,1.0,0.2
empire_getsession_dcerpc_smb_srvsvc_NetSessEnum_2020-09-22034513,14,1,13,0.0714,2,1,0.5,1,0.0,0.0,0.0,0.0
empire_shell_net_local_users_2020-09-21192606,10,3,7,0.3,2,1,0.5,3,1.0,1.0,1.0,1.0
empire_shell_samr_EnumDomainUsers_2020-09-21193527,7,3,4,0.4286,2,1,0.5,3,0.6667,0.6667,1.0,0.8333
cmd_sharpview_pcre_net_2020-10-2920232423,2,2,0,1.0,3,1,0.3333,2,0.0,0.0,0.5,0.125
empire_launcher_vbs_2020-09-04160940,13,10,3,0.7692,1,1,1.0,10,0.8,0.8,0.9,0.85
psh_powershell_httplistener_2020-11-0204130683,2,1,1,0.5,2,1,0.5,1,1.0,1.0,1.0,1.0
psh_python_webserver_2020-10-2900161507,2,2,0,1.0,1,1,1.0,2,1.0,1.0,1.0,1.0
covenant_psremoting_command_2020-08-06115603,19,8,11,0.4211,2,1,0.5,8,0.625,0.875,0.875,0.875
empire_psexec_dcerpc_tcp_svcctl_2020-09-20121608,26,14,12,0.5385,2,1,0.5,14,0.0714,0.8571,0.8571,0.8571
empire_psremoting_stager_2020-09-20170827,22,13,9,0.5909,2,1,0.5,13,0.3077,0.8462,1.0,0.8974
empire_wmi_dcerpc_wmi_IWbemServices_ExecMethod_2020-09-21001437,29,11,18,0.3793,3,1,0.3333,11,0.3636,0.8182,0.9091,0.8485
purplesharp_ad_playbook_I_2020-10-22042947,37,19,18,0.5135,4,1,0.25,19,0.3684,0.7368,1.0,0.8684
cmd_userinitmprlogonscript_batch_2020-10-1922471810,3,3,0,1.0,3,1,0.3333,3,0.6667,0.6667,1.0,0.8333
covenant_persistwmi_2019-12-05044734,12,2,10,0.1667,3,1,0.3333,2,0.0,0.0,0.5,0.1
empire_persistence_registry_modification_run_keys_elevated_user_2020-07-22001847,7,2,5,0.2857,2,1,0.5,2,0.0,0.0,1.0,0.2667
empire_schtasks_creation_execution_elevated_user_2020-09-21175806,80,14,66,0.175,2,1,0.5,14,0.1429,0.2857,0.7143,0.4643
empire_wmi_local_event_subscriptions_elevated_user_2020-09-04164306,80,16,64,0.2,3,1,0.3333,16,0.0,0.5625,0.8125,0.6375
cmd_service_mod_fax_2020-10-2120454410,4,2,2,0.5,3,1,0.3333,2,0.0,1.0,1.0,1.0
empire_invoke_runas_2019-05-18204300,21,13,8,0.619,3,2,0.6667,13,0.3846,0.7692,0.9231,0.8462
empire_uac_shellapi_fodhelper_2020-09-04032946,17,12,5,0.7059,3,1,0.3333,12,0.0,0.6667,1.0,0.8194
metasploit_logonpasswords_lsass_memory_dump,80,34,46,0.425,3,1,0.3333,34,0.2941,0.4706,0.7059,0.5686
metasploit_procdump_lsass_memory_dump,80,15,65,0.1875,3,1,0.3333,15,0.2667,0.3333,0.6667,0.4689
